,0.32
55.322,0.32
55.335,0.32
55.350,0.32
55.363,0.32
55.376,0.32
55.390,0.32
55.403,0.32
55.417,0.32
55.431,0.32
55.444,0.32
55.457,0.32
55.471,0.32
55.485,0.32
55.498,0.32
55.512,0.32
55.525,0.32
55.539,0.32
55.553,0.32
55.566,0.32
55.579,0.32
55.592,0.32
55.607,0.32
55.620,0.32
55.633,0.32
55.647,0.32
55.660,0.32
55.674,0.32
55.688,0.32
55.701,0.32
55.714,0.32
55.728,0.32
55.742,0.32
55.755,0.32
55.769,0.32
55.782,0.31
55.795,0.32
55.810,0.32
55.823,0.32
55.836,0.32
55.849,0.32
55.863,0.32
55.877,0.32
55.890,0.32
55.904,0.32
55.917,0.32
55.930,0.32
55.945,0.32
55.958,0.32
55.971,0.32
55.985,0.32
55.998,0.32
56.012,0.32
56.026,0.32
56.039,0.32
56.052,0.32
56.066,0.32
56.080,0.31
56.093,0.32
56.107,0.32
56.120,0.32
56.133,0.32
56.147,0.31
56.161,0.32
56.174,0.32
56.187,0.31
56.201,0.32
56.215,0.32
56.228,0.32
56.242,0.32
56.255,0.32
56.268,0.32
56.283,0.32
56.296,0.32
56.309,0.32
56.323,0.31
56.336,0.32
56.350,0.32
56.364,0.32
56.377,0.32
56.390,0.32
56.404,0.32
56.418,0.32
56.431,0.32
56.444,0.31
56.458,0.32
56.472,0.32
56.485,0.32
56.499,0.32
56.512,0.32
56.525,0.32
56.540,0.32
56.553,0.32
56.566,0.32
56.580,0.32
56.593,0.32
56.607,0.32
56.621,0.32
56.634,0.32
56.647,0.32
56.660,0.32
56.675,0.32
56.688,0.32
56.701,0.32
56.715,0.31
56.728,0.31
56.742,0.32
56.756,0.32
56.769,0.31
56.782,0.32
56.796,0.32
56.810,0.32
56.823,0.31
56.837,0.31
56.850,0.32
56.863,0.31
56.878,0.32
56.891,0.32
56.904,0.32
56.918,0.32
56.931,0.32
56.945,0.32
56.958,0.32
56.972,0.32
56.985,0.31
56.998,0.32
57.013,0.32
57.026,0.32
57.039,0.32
57.053,0.32
57.066,0.32
57.080,0.32
57.094,0.32
57.107,0.32
57.120,0.31
57.134,0.32
57.148,0.32
57.161,0.32
57.175,0.32
57.188,0.32
57.201,0.32
57.216,0.32
57.229,0.32
57.242,0.32
57.255,0.32
57.270,0.31
57.283,0.32
57.296,0.31
57.310,0.32
57.323,0.32
57.337,0.32
57.351,0.32
57.364,0.31
57.377,0.32
57.391,0.32
57.405,0.32
57.418,0.32
57.432,0.32
57.445,0.32
57.458,0.32
57.473,0.32
57.486,0.32
57.499,0.32
57.512,0.32
57.526,0.32
57.540,0.32
57.553,0.32
57.567,0.32
57.580,0.32
57.593,0.32
57.608,0.32
57.621,0.32
57.634,0.32
57.648,0.32
57.661,0.32
57.675,0.32
57.689,0.32
57.702,0.31
57.715,0.32
57.729,0.31
57.743,0.32
57.756,0.32
57.769,0.32
57.783,0.32
57.796,0.31
57.810,0.32
57.824,0.32
57.837,0.32
57.850,0.32
57.864,0.32
57.878,0.32
57.891,0.32
57.905,0.32
57.918,0.32
57.931,0.32
57.946,0.32
57.959,0.32
57.972,0.32
57.986,0.32
57.999,0.32
58.013,0.32
58.027,0.32
58.040,0.32
58.053,0.32
58.066,0.32
58.081,0.32
58.094,0.32
58.107,0.32
58.121,0.32
58.135,0.32
58.148,0.32
58.162,0.32
58.175,0.32
58.188,0.32
58.203,0.32
58.216,0.32
58.229,0.31
58.243,0.32
58.256,0.32
58.270,0.32
58.284,0.32
58.297,0.32
58.310,0.32
58.323,0.32
58.338,0.32
58.351,0.31
58.364,0.31
58.378,0.32
58.391,0.32
58.405,0.32
58.419,0.32
58.432,0.32
58.445,0.32
58.459,0.32
58.473,0.31
58.486,0.32
58.500,0.32
58.513,0.31
58.526,0.32
58.541,0.32
58.554,0.32
58.567,0.32
58.580,0.32
58.594,0.32
58.608,0.32
58.621,0.32
58.635,0.32
58.648,0.32
58.661,0.32
58.676,0.32
58.689,0.32
58.702,0.32
58.716,0.32
58.729,0.31
58.743,0.31
58.757,0.31
58.770,0.30
58.783,0.29
58.797,0.25
58.811,0.17
58.824,0.07
58.838,0.10
58.851,0.33
58.864,0.61
58.878,0.64
58.892,0.41
58.905,0.29
58.918,0.31
58.932,0.33
58.946,0.33
58.959,0.32
58.973,0.31
58.986,0.32
59.000,0.32
59.014,0.31
59.027,0.32
59.040,0.31
59.054,0.32
59.068,0.32
59.081,0.32
59.095,0.32
59.108,0.32
59.121,0.32
59.136,0.32
59.149,0.31
59.162,0.32
59.175,0.32
59.189,0.32
59.203,0.32
59.216,0.32
59.230,0.32
59.243,0.32
59.256,0.32
59.271,0.32
59.284,0.32
59.297,0.31
59.311,0.31
59.324,0.31
59.338,0.32
59.352,0.32
59.365,0.32
59.378,0.31
59.392,0.32
59.406,0.32
59.419,0.32
59.432,0.32
59.446,0.32
59.459,0.31
59.473,0.32
59.487,0.32
59.500,0.32
59.513,0.32
59.527,0.32
59.541,0.32
59.554,0.32
59.568,0.32
59.581,0.32
59.594,0.32
59.609,0.31
59.622,0.32
59.635,0.32
59.649,0.31
59.662,0.32
59.676,0.32
59.689,0.32
59.703,0.32
59.716,0.32
59.
