,0.00
51.632,0.00
51.645,0.00
51.658,0.00
51.672,0.00
51.686,0.00
51.699,0.00
51.713,0.00
51.726,0.00
51.739,0.00
51.753,0.00
51.767,0.00
51.780,0.00
51.793,0.00
51.807,0.00
51.821,0.00
51.834,0.00
51.848,0.00
51.861,0.00
51.874,0.00
51.889,0.00
51.902,0.00
51.915,0.00
51.929,0.00
51.942,0.00
51.956,0.00
51.970,0.00
51.983,0.00
51.996,0.00
52.009,0.00
52.024,0.00
52.037,0.00
52.050,0.00
52.064,0.00
52.077,0.00
52.091,0.00
52.105,0.00
52.118,0.00
52.131,0.00
52.145,0.00
52.159,0.00
52.172,0.00
52.186,0.00
52.199,0.00
52.212,0.00
52.227,0.00
52.240,0.00
52.253,0.00
52.267,0.00
52.280,0.00
52.294,0.00
52.307,0.00
52.321,0.00
52.334,0.00
52.348,0.00
52.362,0.00
52.375,0.00
52.388,0.00
52.402,0.00
52.416,0.00
52.429,0.00
52.443,0.00
52.456,0.00
52.469,0.00
52.484,0.00
52.497,0.00
52.510,0.00
52.524,0.00
52.537,0.00
52.551,0.00
52.564,0.00
52.578,0.00
52.591,0.00
52.604,0.00
52.619,0.00
52.632,0.00
52.645,0.00
52.659,0.00
52.672,0.00
52.686,0.00
52.700,0.00
52.713,0.00
52.726,0.00
52.740,0.00
52.754,0.00
52.767,0.00
52.781,0.00
52.794,0.00
52.807,0.00
52.822,0.00
52.835,0.00
52.848,0.00
52.861,0.00
52.875,0.00
52.889,0.00
52.902,0.00
52.916,0.00
52.929,0.00
52.942,0.00
52.957,0.00
52.970,0.00
52.983,0.00
52.997,0.00
53.010,0.00
53.024,0.00
53.038,0.00
53.051,0.00
53.064,0.00
53.078,0.00
53.092,0.00
53.105,0.00
53.118,0.00
53.132,0.00
53.145,0.00
53.159,0.00
53.173,0.00
53.186,0.00
53.199,0.00
53.214,0.00
53.227,0.00
53.240,0.00
53.254,0.00
53.267,0.00
53.281,0.00
53.295,0.00
53.308,0.00
53.321,0.00
53.335,0.00
53.349,0.00
53.362,0.00
53.376,0.00
53.389,0.00
53.402,0.00
53.416,0.00
53.430,0.00
53.443,0.00
53.456,0.00
53.470,0.00
53.484,0.00
53.497,0.00
53.511,0.00
53.524,0.00
53.537,0.00
53.552,0.00
53.565,0.00
53.578,0.00
53.592,0.00
53.605,0.00
53.619,0.00
53.633,0.00
53.646,0.00
53.659,0.27
53.672,0.65
53.687,0.60
53.700,0.58
53.713,1.31
53.727,1.31
53.740,1.22
53.754,1.13
53.768,1.05
53.781,0.97
53.794,0.90
53.808,0.84
53.822,0.79
53.835,0.73
53.849,0.68
53.862,0.64
53.875,0.59
53.890,0.56
53.903,0.52
53.916,0.48
53.929,0.45
53.944,0.42
53.957,0.39
53.970,0.37
53.984,0.34
53.997,0.32
54.011,0.30
54.025,0.28
54.038,0.26
54.051,0.24
54.065,0.23
54.079,0.22
54.092,0.20
54.106,0.19
54.119,0.17
54.132,0.16
54.147,0.15
54.160,0.14
54.173,0.13
54.187,0.12
54.200,0.12
54.214,0.11
54.227,0.10
54.241,0.09
54.254,0.08
54.267,0.08
54.282,0.08
54.295,0.07
54.308,0.07
54.322,0.06
54.335,0.06
54.349,0.05
54.363,0.05
54.376,0.05
54.389,0.04
54.403,0.04
54.417,0.04
54.430,0.03
54.444,0.03
54.457,0.03
54.470,0.03
54.484,0.02
54.498,0.02
54.511,0.02
54.524,0.02
54.538,0.02
54.552,0.01
54.565,0.02
54.579,0.01
54.592,0.01
54.605,0.01
54.620,0.01
54.633,0.00
54.646,0.01
54.660,0.01
54.673,0.00
54.687,0.01
54.701,0.00
54.714,0.00
54.727,0.00
54.740,0.00
54.755,0.00
54.768,0.00
54.781,0.00
54.795,0.00
54.808,0.00
54.822,0.
